day	hour	qqq	value
1	1	Egidio Arevalo Rios;<br/>Essaid Belkalem;\nJack Wilshere	30
1	2	Jefferson;Loic Remy;Maxi Rodriguez	30
1	3	Yoichiro Kakitani	10
1	4	James Milner;Jung Sung-ryong;Toni Kroos	30
1	5	Afriyie Acquah;Leroy Fer	20
1	6	Abel Aguilar;Daniel Davari	20
1	7	Eden Hazard	10
1	8	David Silva;Jorge Claros;Koke;Oliver Bozani?;Stipe Pletikosa	50
1	9	Cedric Si Mohamed;Juanfran	20
1	10	Christian Atsu;?ime Vrsaljko	20
1	11	Matt McKay	10
1	12	Axel Witsel;Oribe Peralta;Salvatore Sirigu	30
1	13	Mario Yepes;Santiago Arias;Sol Bamba	30
1	14	Yohan Cabaye	10
1	15	Joel Veltman	10
1	16	Pablo Zabaleta;Park Joo-ho;Reto Ziegler;Stephan Lichtsteiner	40
1	17	Hector Moreno	10
1	18	Johan Djourou;Juan Fernando Quintero;Makoto Hasebe;Senad Luli?	40
1	19	Claudio Marchisio;Matthias Ginter	20
1	20	Jose Maria Gimenez;Pierre Webo;Renato Ibarra	30
1	21	Victor	10
1	22	Adrian Ramos;Dmitri Kombarov;Hashem Beikzadeh;Rodrigo Munoz;Vincent Aboubakar	50
1	23	Arjen Robben	10
1	24	Ermin Bi?ak?i?;Ki Sung-yueng;Luis Suarez;Vieirinha	40
1	25	Marco Parolo;Pavel Mogilevets;Xavi;Yasuyuki Konno	40
1	26	Jose de Jesus Corona	10
1	27	Denis Glushakov;Fabian Orellana;Ruben Amorim	30
1	28	Chris Wondolowski;Gianluigi Buffon;John Brooks;Yasuhito End?	40
1	29		0
1	30	Lucas Biglia	10
1	31	Abdelmoumene Djabou	10
2	1	Faouzi Ghoulam;Reza Haghighi;Steven Beitashour	30
2	2	Gerard Pique;Ivan Peri?i?;Michael Uchebo;Silvestre Varela	40
2	3	Donis Escober;Jalal Hosseini	20
2	4	Mathew Leckie;Mauricio Pinilla	20
2	5	Adnan Januzaj;Cristiano Ronaldo;Loukas Vyntra;Neymar;Rodrigo Palacio;Stefan de Vrij;Vedran ?orluka	70
2	6	Carlos Sanchez	10
2	7	Daniel Van Buyten	10
2	8	Bruno Martins Indi;Giancarlo Gonzalez;Michael Lang;Yacine Brahimi	40
2	9	Andrey Yeshchenko	10
2	10		0
2	11	Francisco Silva;Javier Aquino;Mark Bresciano;Matt Besler	40
2	12	Christoph Kramer;Ron-Robert Zieler	20
2	13	Alexandros Tziolis;Eliaquim Mangala;Mamadou Sakho;Memphis Depay;Rafael Marquez;Tino-Sven Su?i?;Yun Suk-young	70
2	14	Bacary Sagna;Edinson Cavani;Jose Miguel Cubero;Philippe Senderos;Terence Kongolo;Angel di Maria	60
2	15	Fidel Martinez;Gabriel Paletta;Panagiotis Tachtsidis;Rui Patricio	40
2	16	Diego Godin;Rickie Lambert;Ron Vlaar	30
2	17	Edin Vi??a	10
2	18	Aleksei Ionov	10
2	19		0
2	20	Ciro Immobile	10
2	21	Carlos Carmona;Federico Fernandez;Georgios Samaras;Jaime Ayovi;Phil Jones;Riyad Mahrez	60
2	22	Enzo Perez;Haris Seferovi?;Jose Pedro Fuenzalida;Sergio Romero;Toshihiro Aoyama	50
2	23		0
2	24		0
2	25	Eduardo;Ehsan Hajsafi;Joao Pereira;Milan Badelj;Sammy N'Djock	50
2	26	Mehrdad Pouladi;Pepe	20
2	27	Kim Young-gwon;Koo Ja-cheol	20
2	28	Antonio Candreva;Eder Alvarez Balanta	20
2	29	Benedikt Howedes;Saphir Taider	20
3	1		0
3	2	Ha Dae-sung;Toby Alderweireld	20
3	3	Sh?ichi Gonda	10
3	4		0
3	5	Kunle Odunlami;Liassine Cadamuro-Bentaiba;Marco Urena	30
3	6	Andranik Teymourian;Avdija Vr?ajevi?;Giorgos Karagounis;Kevin-Prince Boateng;Paul Aguilar;Tim Howard	60
3	7		0
3	8	Alan Pulido;Haris Medunjanin;Juan Carlos Garcia;Rio Mavuba;Remy Cabella	50
3	9	Camilo Vargas;Clint Dempsey;Daley Blind	30
3	10	Ivan Rakiti?;Park Jong-woo;Samuel Eto'o	30
3	11	Didier Drogba;Fabio Coentrao	20
3	12	Kostas Mitroglou	10
3	13		0
3	14	G?toku Sakai;Jose Juan Vazquez	20
3	15	Paul Pogba;Edison Mendez	20
3	16	Admir Mehmedi;Andy Najar	20
3	17	Edin D?eko;Fraser Forster;Raul Meireles;Shinji Kagawa;Yeltsin Tejeda	50
3	18	Gordon Schildenfeld;Stefanos Kapino	20
3	19	Aleksandr Kokorin;Kolo Toure;Mohamed Zemmamouche	30
3	20	Eiji Kawashima;Fernando Torres;Jo;Marcos Rojo;Nicolas Lombaerts	50
3	21	Antoine Griezmann;Jordi Alba;Nicolas Lodeiro	30
3	22		0
3	23	Ejike Uzoenyi;Eyong Enoh;Maxim Choupo-Moting	30
3	24	Andrei Semyonov;Benoit Assou-Ekotto;Gabriel Achilier;Ramires	40
3	25	Diego Calvo;Martin Silva	20
3	26		0
3	27	Atsuto Uchida;Manuel Neuer;Nicolas N'Koulou	30
3	28	Mensur Mujd?a	10
3	29	Carlos Pena;Timothy Chandler	20
3	30	Sergio Ramos	10
3	31	Giovanni Sio	10
4	1		0
4	2	Arthur Boka;Carlos Salcido;Lee Bum-young;Miralem Pjani?	40
4	3	Jose Maria Basanta;Karim Ansarifard;Tim Krul	30
4	4	Manabu Sait?;Sami Khedira	20
4	5		0
4	6	Fatau Dauda	10
4	7	Martin Caceres;William Carvalho	20
4	8	Austin Ejide;Dario Vido?i?;Igor Akinfeev;Jerry Bengtson;Mathew Ryan	50
4	9	Blaise Matuidi;Christian Noboa	20
