day	hour	qqq	value
1	1	Egidio Arevalo Rios (Uruguay), Essaid Belkalem (Algeria), Jack Wilshere (England)	6
1	2	Jefferson (Brazil), Loic Remy (France), Maxi Rodriguez (Argentina)	6
1	3	Yoichiro Kakitani (Japan)	2
1	4	James Milner (England), Jung Sung-ryong (South Korea), Toni Kroos (Germany)	6
1	5	Afriyie Acquah (Ghana), Leroy Fer (Netherlands)	4
1	6	Abel Aguilar (Colombia), Daniel Davari (Iran)	4
1	7	Eden Hazard (Belgium)	2
1	8	David Silva (Spain), Jorge Claros (Honduras), Koke (Spain), Oliver Bozani? (Australia), Stipe Pletikosa (Croatia)	16
1	9	Cedric Si Mohamed (Algeria), Juanfran (Spain)	4
1	10	Christian Atsu (Ghana), ?ime Vrsaljko (Croatia)	4
1	11	Matt McKay (Australia)	2
1	12	Axel Witsel (Belgium), Oribe Peralta (Mexico), Salvatore Sirigu (Italy)	6
1	13	Mario Yepes (Colombia), Santiago Arias (Colombia), Sol Bamba (Ivory Coast)	6
1	14	Yohan Cabaye (France)	2
1	15	Joel Veltman (Netherlands)	2
1	16	Pablo Zabaleta (Argentina), Park Joo-ho (South Korea), Reto Ziegler (Switzerland), Stephan Lichtsteiner (Switzerland)	8
1	17	Hector Moreno (Mexico)	2
1	18	Johan Djourou (Switzerland), Juan Fernando Quintero (Colombia), Makoto Hasebe (Japan), Senad Luli? (Bosnia and Herzegovina)	8
1	19	Claudio Marchisio (Italy), Matthias Ginter (Germany)	4
1	20	Jose Maria Gimenez (Uruguay), Pierre Webo (Cameroon), Renato Ibarra (Ecuador)	6
1	21	Victor (Brazil)	2
1	22	Adrian Ramos (Colombia), Dmitri Kombarov (Russia), Hashem Beikzadeh (Iran), Rodrigo Munoz (Uruguay), Vincent Aboubakar (Cameroon)	16
1	23	Arjen Robben (Netherlands)	2
1	24	Ermin Bi?ak?i? (Bosnia and Herzegovina), Ki Sung-yueng (South Korea), Luis Suarez (Uruguay), Vieirinha (Portugal)	8
1	25	Marco Parolo (Italy), Pavel Mogilevets (Russia), Xavi (Spain), Yasuyuki Konno (Japan)	8
1	26	Jose de Jesus Corona (Mexico)	2
1	27	Denis Glushakov (Russia), Fabian Orellana (Chile), Ruben Amorim (Portugal)	6
1	28	Chris Wondolowski (United States), Gianluigi Buffon (Italy), John Brooks (United States), Yasuhito End? (Japan)	8
1	29	none	0
1	30	Lucas Biglia (Argentina)	2
1	31	Abdelmoumene Djabou (Algeria)	2
2	1	Faouzi Ghoulam (Algeria), Reza Haghighi (Iran), Steven Beitashour (Iran)	6
2	2	Gerard Pique (Spain), Ivan Peri?i? (Croatia), Michael Uchebo (Nigeria), Silvestre Varela (Portugal)	8
2	3	Donis Escober (Honduras), Jalal Hosseini (Iran)	4
2	4	Mathew Leckie (Australia), Mauricio Pinilla (Chile)	4
2	5	Adnan Januzaj (Belgium), Cristiano Ronaldo (Portugal), Loukas Vyntra (Greece), Neymar (Brazil), Rodrigo Palacio (Argentina), Stefan de Vrij (Netherlands), Vedran ?orluka (Croatia)	42
2	6	Carlos Sanchez (Colombia)	2
2	7	Daniel Van Buyten (Belgium)	2
2	8	Bruno Martins Indi (Netherlands), Giancarlo Gonzalez (Costa Rica), Michael Lang (Switzerland), Yacine Brahimi (Algeria)	8
