A,B,C
Africa-Algeria-CSConstantine,1,1
Africa-Algeria-USMAlger,1,1
Africa-Cameroon-CotonSport,2,1
Africa-Ghana-AduanaStars,1,1
Africa-IvoryCoast-S?w?Sport,1,1
Africa-Nigeria-EnuguRangers,1,1
Africa-Nigeria-GombeUnited,1,1
Africa-Nigeria-SunshineStars,1,1
Africa-Nigeria-WarriWolves,1,1
Africa-SouthAfrica-MamelodiSundowns,1,1
Africa-SouthAfrica-OrlandoPirates,1,1
Africa-Tunisia-ClubAfricain,1,1
Africa-Tunisia-Esp?rance,1,1
Asia-Australia-AdelaideUnited,1,2
Asia-Australia-BrisbaneRoar,2,2
Asia-Australia-MelbourneVictory,2,2
Asia-Australia-NewcastleJets,1,2
Asia-Australia-WesternSydneyWanderers,1,2
Asia-China-BeijingGuoan,1,2
Asia-China-GuangzhouEvergrande,1,2
Asia-China-GuangzhouR&F,1,2
Asia-China-GuizhouRenhe,1,2
Asia-China-QingdaoJonoon,1,2
Asia-China-ShandongLunengTaishan,1,2
Asia-Iran-Esteghlal,4,2
Asia-Iran-Foolad,1,2
Asia-Iran-NaftTehran,1,2
Asia-Iran-Persepolis,4,2
Asia-Iran-Sepahan,2,2
Asia-Iran-TractorSazi,1,2
Asia-Iran-ZobAhan,1,2
Asia-Japan-CerezoOsaka,3,2
Asia-Japan-F.C.Tokyo,2,2
Asia-Japan-GambaOsaka,2,2
Asia-Japan-JubiloIwata,1,2
Asia-Japan-KashiwaReysol,2,2
Asia-Japan-KawasakiFrontale,1,2
Asia-Japan-SanfrecceHiroshima,2,2
Asia-Japan-UrawaRedDiamonds,1,2
Asia-Japan-YokohamaF.Marinos,1,2
Asia-Kuwait-AlKuwait,1,2
Asia-Qatar-AlGharafa,1,2
Asia-Qatar-Lekhwiya,1,2
Asia-Qatar-UmmSalal,1,2
Asia-SaudiArabia-AlHilal,1,2
Asia-SouthKorea-BusanIPark,1,2
Asia-SouthKorea-JeonbukHyundaiMotors,1,2
Asia-SouthKorea-SangjuSangmu,1,2
Asia-SouthKorea-SuwonBluewings,1,2
Asia-SouthKorea-UlsanHyundai,3,2
Asia-UnitedArabEmirates-AlAin,1,2
Asia-UnitedArabEmirates-AlJazira,1,2
NorthAmerica-Canada-TorontoFC,2,3
NorthAmerica-Canada-VancouverWhitecapsFC,1,3
NorthAmerica-CostaRica-Alajuelense,3,3
NorthAmerica-CostaRica-Cartagin?s,1,3
NorthAmerica-CostaRica-Herediano,4,3
